t,result,computeTime,score,author,commit
06-May-2024 16:36:19,-1,-1,-1,NA,NA
07-Aug-2024 17:40:34,103.175620178426,0.282487000003457,544.126800892474,MAXPIL0T,e40e8a6b1ac3ec055b2fd92398bd616a01a589de
07-Aug-2024 18:35:16,103.175620178426,0.230210000000894,538.899100892217,MAXPIL0T,210f97a3c6ade05db23fa4d2ebb8ee12c0c0ad89
